"Sample","Group3","LAMP2","STAG2","LAMP2_log2FC","LAMP2_foldchange","STAG2_log2FC","STAG2_foldchange","LAMP2_pval","STAG2_pval"
"GSM362961","Control",7.2065,6.084,-1.15318863636364,0.449630361817796,-0.678840909090909,0.6246669431859,2.54e-06,2.43e-11
"GSM362962","Control",7.892,5.756,-0.467688636363635,0.723122195263034,-1.00684090909091,0.497634733766037,2.54e-06,2.43e-11
"GSM362963","Control",7.4525,5.554,-0.907188636363636,0.533223165455114,-1.20884090909091,0.43261604871135,2.54e-06,2.43e-11
"GSM362967","Control",6.8465,6.524,-1.51318863636364,0.350336051868361,-0.238840909090909,0.847425878339502,2.54e-06,2.43e-11
"GSM362968","Control",7.9225,5.827,-0.437188636363635,0.738572455087957,-0.935840909090909,0.522737690994777,2.54e-06,2.43e-11
"GSM362969","Control",7.615,6.815,-0.744688636363636,0.596796658766127,0.0521590909090914,1.03681542789405,2.54e-06,2.43e-11
"GSM362973","Control",7.736,5.986,-0.623688636363635,0.649009438109147,-0.776840909090909,0.583643407712509,2.54e-06,2.43e-11
"GSM362974","Control",8.0605,6.194,-0.299188636363636,0.81270933104582,-0.568840909090909,0.674158203497131,2.54e-06,2.43e-11
"GSM362975","Control",7.568,6.418,-0.791688636363636,0.577667551512789,-0.344840909090909,0.787394800495604,2.54e-06,2.43e-11
"GSM362979","Control",8.1585,6.242,-0.201188636363636,0.869833612124203,-0.520840909090909,0.696965471869044,2.54e-06,2.43e-11
"GSM362980","Control",7.075,5.523,-1.28468863636364,0.410459380529442,-1.23984090909091,0.423419345504164,2.54e-06,2.43e-11
"GSM362981","Control",8.3305,6.193,-0.0291886363636351,0.979971273012372,-0.569840909090909,0.673691074552384,2.54e-06,2.43e-11
"GSM362985","Control",8.417,7.503,0.057311363636364,1.04052480921512,0.740159090909091,1.67036002500552,2.54e-06,2.43e-11
"GSM362989","Control",8.327,7.153,-0.0326886363636358,0.977596729379175,0.390159090909091,1.31053791338175,2.54e-06,2.43e-11
"GSM362990","Control",8.583,6.874,0.223311363636364,1.16741002602913,0.111159090909091,1.08009565910297,2.54e-06,2.43e-11
"GSM362991","Control",9.01,7.1,0.650311363636364,1.56950689151819,0.337159090909091,1.26326655888289,2.54e-06,2.43e-11
"GSM362995","Control",8.5345,7.182,0.174811363636364,1.12881679924032,0.419159090909091,1.33714793914515,2.54e-06,2.43e-11
"GSM362996","Control",8.5465,6.831,0.186811363636364,1.13824519064023,0.0681590909090914,1.0483780773738,2.54e-06,2.43e-11
"GSM362997","Control",8.482,6.922,0.122311363636364,1.08847733240043,0.159159090909091,1.11663609046866,2.54e-06,2.43e-11
"GSM362998","Control",8.1875,5.624,-0.172188636363636,0.88749528722124,-1.13884090909091,0.454124283935394,2.54e-06,2.43e-11
"GSM362999","Control",8.729,4.139,0.369311363636363,1.29173610377461,-2.62384090909091,0.162235235114449,2.54e-06,2.43e-11
"GSM363000","Control",8.06,6.614,-0.299688636363635,0.812427716258049,-0.148840909090909,0.901974836743914,2.54e-06,2.43e-11
"GSM363001","Control",8.058,6.586,-0.301688636363636,0.811302232602252,-0.176840909090909,0.884637982004433,2.54e-06,2.43e-11
"GSM363002","Control",8.388,7.193,0.0283113636363641,1.01981775716045,0.430159090909091,1.34738214910477,2.54e-06,2.43e-11
"GSM363003","Control",8.372,6.531,0.0123113636363641,1.00857010184052,-0.231840909090909,0.851547605634214,2.54e-06,2.43e-11
"GSM363004","Control",8.087,6.697,-0.272688636363636,0.827775447982754,-0.0658409090909089,0.95538828450265,2.54e-06,2.43e-11
"GSM363005","Control",7.7425,6.828,-0.617188636363636,0.651940119083885,0.0651590909090913,1.04620030151186,2.54e-06,2.43e-11
"GSM363006","Control",8.1845,7.013,-0.175188636363636,0.885651710122663,0.250159090909091,1.18933826016332,2.54e-06,2.43e-11
"GSM363007","Control",8.954,7.002,0.594311363636365,1.50975176923692,0.239159090909091,1.1803044923673,2.54e-06,2.43e-11
"GSM363018","Control",8.1725,7.336,-0.187188636363636,0.878315618535626,0.573159090909091,1.48777781572962,2.54e-06,2.43e-11
"GSM363019","Control",7.842,6.231,-0.517688636363635,0.69848999865645,-0.531840909090909,0.691671583287805,2.54e-06,2.43e-11
"GSM363020","Control",7.9245,6.821,-0.435188636363636,0.739597043944512,0.0581590909090908,1.04113640102063,2.54e-06,2.43e-11
"GSM363021","Control",8.6655,4.313,0.305811363636364,1.23611362508141,-2.44984090909091,0.183030894322179,2.54e-06,2.43e-11
"GSM363022","Control",7.652,6.303,-0.707688636363637,0.612300329104273,-0.459840909090909,0.727066430337942,2.54e-06,2.43e-11
"GSM363023","Control",7.639,6.846,-0.720688636363636,0.60680772773866,0.0831590909090911,1.05933514474737,2.54e-06,2.43e-11
"GSM363024","Control",8.5125,6.509,0.152811363636363,1.11173378574855,-0.253840909090909,0.838660661317192,2.54e-06,2.43e-11
"GSM363025","Control",8.179,6.57,-0.180688636363636,0.882281759429598,-0.192840909090909,0.874881235728302,2.54e-06,2.43e-11
"GSM363026","Control",8.0145,6.345,-0.345188636363636,0.787205040605186,-0.417840909090909,0.748544033352183,2.54e-06,2.43e-11
"GSM363027","Control",8.4255,6.757,0.0658113636363638,1.04667341758513,-0.00584090909090929,0.995959574902749,2.54e-06,2.43e-11
"GSM363028","Control",8.6305,6.962,0.270811363636364,1.20648615800769,0.199159090909091,1.148029003954,2.54e-06,2.43e-11
"GSM363040","Control",7.9025,4.914,-0.457188636363636,0.728404309845696,-1.84884090909091,0.277615320308741,2.54e-06,2.43e-11
"GSM363041","Control",8.3485,6.92,-0.0111886363636362,0.992274623554059,0.157159090909091,1.11508917663972,2.54e-06,2.43e-11
"GSM363042","Control",7.939,6.634,-0.420688636363636,0.747067943979974,-0.128840909090909,0.914565936248556,2.54e-06,2.43e-11
"GSM363043","Control",8.592,6.981,0.232311363636363,1.17471547192156,0.218159090909091,1.16324830983915,2.54e-06,2.43e-11
"GSM363044","Control",8.842,6.906,0.482311363636365,1.3969799973129,0.143159090909091,1.10432061765481,2.54e-06,2.43e-11
