"Sample","Group","CMA_score"
"GSM363302","Control",-0.0953314980599379
"GSM363303","Control",0.141850157870999
"GSM363304","Control",0.0409872150785539
"GSM363305","Control",0.114651291046315
"GSM363306","Control",-0.320692697196303
"GSM363307","Control",0.162564972686918
"GSM363308","Control",-1.0574356697133
"GSM363318","Control",-0.19316794887574
"GSM363319","Control",-0.121609117501083
"GSM363320","Control",-0.304940020699263
"GSM363321","Control",-0.0458968757868396
"GSM363322","Control",-0.21259626022047
"GSM363323","Control",-0.397998438133202
"GSM363324","Control",-0.443572721656519
"GSM363325","Control",-0.300432019192062
"GSM363338","Control",-0.00207201060595529
"GSM363340","Control",-0.158395992125336
"GSM363342","Control",-0.182040337615418
"GSM363345","Control",-0.0382542476847466
"GSM363347","Control",0.264604939233997
"GSM363349","Control",0.288198691083087
"GSM363351","Control",-0.131734284273989
"GSM363353","Control",0.320345597899546
"GSM363356","Control",-0.384036235195918
"GSM363359","Control",-0.147007645874459
"GSM363361","Control",0.230881974981877
"GSM363363","Control",-0.0763820370150678
"GSM363365","Control",-0.194630429837018
"GSM363367","Control",-0.00819585378011515
"GSM363369","Control",0.425000909883746
"GSM363370","Control",-0.682028751377033
"GSM363372","Control",-0.0288759633831165
"GSM363373","Control",-0.23634709935268
"GSM363374","Control",0.163890547855579
"GSM363375","Control",0.465172457285425
"GSM363380","Control",-0.126194156356902
"GSM363381","Control",0.0669570498665332
"GSM363382","Control",0.215458875319894
"GSM363397","Control",0.105192359394492
"GSM363402","Control",-0.348712629496978
"GSM363407","Control",-0.909994767005116
"GSM363417","Control",-0.26027074058369
"GSM712533","Control",0.288714172886444
"GSM712535","Control",0.160734542086177
"GSM712536","Control",-0.464674301998217
"GSM712537","Control",-0.179871225215887
"GSM712538","Control",0.288195257635906
"GSM712539","Control",0.30570942089339
"GSM712540","Control",0.252205059010706
"GSM712541","Control",0.322927745351342
"GSM362959","Small",0.0439457694938746
"GSM362960","Small",-0.253331332969123
"GSM362964","Small",-0.0477945297464809
"GSM362966","Small",-0.557047905819726
"GSM362970","Small",-0.30147766521493
"GSM362971","Small",-0.416210328633642
"GSM362972","Small",-0.0128483922038959
"GSM362976","Small",0.296354024834456
"GSM362978","Small",-0.055883020576068
"GSM362982","Small",0.321427763161361
"GSM362983","Small",0.0280820939716381
"GSM362984","Small",-0.255960686379799
"GSM362986","Small",0.100822176362701
"GSM362987","Small",0.231441940248056
"GSM362988","Small",0.109895966737557
"GSM362993","Small",0.0980332154790211
"GSM362994","Small",-0.227610469124169
"GSM363008","Small",-0.0734176825217111
"GSM363011","Small",-0.151495998033284
"GSM363013","Small",0.141516986762814
"GSM363014","Small",0.627306991561125
"GSM363029","Small",0.259435002273885
"GSM363030","Small",-0.132047251381729
"GSM363031","Small",-0.0211750051024447
"GSM363033","Small",-0.173521648635325
"GSM363034","Small",0.0255125676280921
"GSM363036","Small",-0.318625009412386
"GSM363037","Small",-0.0965380311937975
"GSM363038","Small",-0.235288817655884
"GSM363050","Small",-0.167868941155768
"GSM363053","Small",0.109653846704273
"GSM363056","Small",-0.147108660855652
"GSM363057","Small",0.91327891258993
"GSM363072","Small",0.103194106374709
"GSM363073","Small",0.0901122138470701
"GSM363074","Small",-0.103679500006481
"GSM363077","Small",-0.0654223620210461
"GSM363078","Small",0.664586940882529
"GSM363082","Small",0.173093905501259
"GSM363083","Small",0.0541576723007824
"GSM363086","Small",0.418864627882806
"GSM363087","Small",0.0398643467491891
"GSM363098","Small",-0.235057876290313
"GSM363101","Small",-0.207121488709249
"GSM363104","Small",0.103407367352942
"GSM363105","Small",0.0273248344108142
"GSM363107","Small",-0.260086361657688
"GSM363109","Small",0.144577521584168
"GSM363115","Small",0.351723517015298
"GSM363121","Small",0.0694787739022062
"GSM363122","Small",-0.136811555080736
"GSM363124","Small",-0.133864372806976
"GSM363127","Small",0.202845814228503
"GSM363128","Small",-0.229525695817015
"GSM363142","Small",-0.065332127441776
"GSM363143","Small",-0.0351767801270549
"GSM363144","Small",0.162776349946267
"GSM363145","Small",-0.0332488641661797
"GSM363147","Small",0.379569908273085
"GSM363148","Small",-0.144900349277684
"GSM363151","Small",0.118906680376352
"GSM363164","Small",0.131511887111684
"GSM363170","Small",-0.01522113792591
"GSM363172","Small",-0.301544129717272
"GSM363174","Small",-0.0166257908489076
"GSM363176","Small",0.209148933047505
"GSM363178","Small",0.577480702406278
"GSM363182","Small",-0.0788031982153135
"GSM363186","Small",0.258478185492421
"GSM363188","Small",0.266034483539096
"GSM363190","Small",0.279014346037393
"GSM363192","Small",-0.0795239696606836
"GSM363194","Small",0.437807774750479
"GSM363196","Small",0.439528068887381
"GSM363198","Small",-0.062852087305408
"GSM363200","Small",0.438073181943718
"GSM363202","Small",0.162780828052867
"GSM363205","Small",-0.0192503832878243
"GSM363209","Small",0.428227897698458
"GSM363215","Small",0.213849927207514
"GSM363217","Small",0.335384461899706
"GSM363222","Small",0.0858824462537192
"GSM363224","Small",-0.62592195963875
"GSM363232","Small",0.40168178973206
"GSM363239","Small",-0.264468893847496
"GSM363243","Small",-0.372243386660717
"GSM363247","Small",-0.00963856375569546
"GSM363249","Small",-0.378258336507711
"GSM363251","Small",-0.105072614418166
"GSM363265","Small",0.0359913855642379
"GSM363266","Small",-0.00371003678951868
"GSM363267","Small",0.282018385703417
"GSM363268","Small",0.298045360862065
"GSM363269","Small",0.0111276403254793
"GSM363270","Small",0.363542222197265
"GSM363273","Small",-0.21932927830948
"GSM363274","Small",0.211414322834487
"GSM363275","Small",-0.195307356504954
"GSM363288","Small",0.120332777249845
"GSM363289","Small",-0.495301919958001
"GSM363290","Small",0.103896823255667
"GSM363291","Small",-0.267622800984763
"GSM363292","Small",0.338216182607478
"GSM363293","Small",0.309787579048877
"GSM363294","Small",0.206441609187849
"GSM363296","Small",0.329014227157313
"GSM363298","Small",0.367813312882991
"GSM363309","Small",0.0845774160753379
"GSM363310","Small",0.069429035916873
"GSM363312","Small",-0.344357638960878
"GSM363314","Small",-0.0333986917215786
"GSM363315","Small",0.268299495254604
"GSM363316","Small",0.353284235392631
"GSM363317","Small",-0.169680566610891
"GSM363326","Small",0.205646177560355
"GSM363327","Small",0.0768001641623121
"GSM363329","Small",0.306606304076027
"GSM363335","Small",0.174304956452771
"GSM363336","Small",0.649326028067068
"GSM363337","Small",0.203293553778462
"GSM363339","Small",0.278439663861374
"GSM363343","Small",-0.414292940051739
"GSM363344","Small",0.115932155662585
"GSM363348","Small",0.579677606583245
"GSM363352","Small",0.108328161193429
"GSM363355","Small",0.319772198986187
"GSM363358","Small",0.301958421102388
"GSM363360","Small",0.178693144532437
"GSM363362","Small",0.112685461163499
"GSM363364","Small",-0.177418484052009
"GSM363368","Small",0.0584625681683159
"GSM363371","Small",0.123522144746029
"GSM363376","Small",0.30380687595172
"GSM363378","Small",0.0405601122856927
"GSM363384","Small",0.228186610079056
"GSM363388","Small",-0.189363387613781
"GSM363391","Small",0.308680986160972
"GSM363393","Small",0.0642948852143101
"GSM363400","Small",-0.568756168753034
"GSM712542","Small",-0.00348878972286806
"GSM362958","Large",-0.242423587845294
"GSM362965","Large",-0.400050355418894
"GSM362977","Large",0.0215569700399078
"GSM362992","Large",0.162531159367273
"GSM363009","Large",-0.298090742393778
"GSM363010","Large",0.0907660228752951
"GSM363012","Large",0.271799696986567
"GSM363015","Large",0.246547780134328
"GSM363016","Large",-0.074426142651431
"GSM363017","Large",-0.0370222524730092
"GSM363032","Large",-0.0844145646616049
"GSM363035","Large",-0.196770015236971
"GSM363039","Large",0.527794759098901
"GSM363048","Large",-0.039267457091165
"GSM363051","Large",-0.469780408180514
"GSM363052","Large",-0.17705251285588
"GSM363054","Large",0.324447946672619
"GSM363055","Large",0.175771502274985
"GSM363069","Large",0.0323607441999213
"GSM363070","Large",0.324147725903186
"GSM363071","Large",-0.131500609986412
"GSM363075","Large",0.255212475407776
"GSM363076","Large",-0.553572754351486
"GSM363079","Large",0.317180526132934
"GSM363080","Large",-0.0145170604272193
"GSM363081","Large",-0.848731765779371
"GSM363084","Large",0.157248483806392
"GSM363085","Large",0.330135152761268
"GSM363099","Large",0.124391862304157
"GSM363100","Large",0.490236231005719
"GSM363102","Large",-0.314880825592813
"GSM363106","Large",0.343141814829578
"GSM363108","Large",0.362895863242237
"GSM363123","Large",-0.220539315562083
"GSM363125","Large",0.175461901421135
"GSM363126","Large",-0.860939227403012
"GSM363129","Large",0.413477117269793
"GSM363130","Large",0.567116583422558
"GSM363146","Large",-0.0677858977878392
"GSM363149","Large",0.588632650918313
"GSM363150","Large",0.309201919546228
"GSM363152","Large",0.709984309841943
"GSM363166","Large",-0.310231433855729
"GSM363168","Large",0.288781834124948
"GSM363169","Large",-0.4348136007021
"GSM363180","Large",-0.265389218700634
"GSM363184","Large",0.344923613052302
"GSM363204","Large",0.444366803250688
"GSM363207","Large",0.242370971104143
"GSM363211","Large",0.222307155271915
"GSM363213","Large",0.307590565629121
"GSM363218","Large",0.189608482100883
"GSM363220","Large",-0.0624395760326553
"GSM363226","Large",0.101951320230862
"GSM363230","Large",-0.524768292261424
"GSM363235","Large",0.161286411409403
"GSM363237","Large",0.432851913616047
"GSM363241","Large",-0.212976225112663
"GSM363245","Large",0.129327624687241
"GSM363263","Large",0.2277043965904
"GSM363264","Large",-0.0324824719117811
"GSM363271","Large",0.317344414724969
"GSM363272","Large",0.446261858635876
"GSM363295","Large",-0.275453492570447
"GSM363297","Large",-0.0330648581369956
"GSM363311","Large",-0.138389378969838
"GSM363313","Large",0.328979960970101
"GSM363328","Large",-0.363896862797685
"GSM363330","Large",0.0337260118763833
"GSM363331","Large",0.165395753493465
"GSM363332","Large",-0.092391611458544
"GSM363333","Large",0.041161170936497
"GSM363341","Large",-0.174796172744678
"GSM363346","Large",0.285796976327994
"GSM363350","Large",0.162190795581491
"GSM363354","Large",0.440445327103049
"GSM363357","Large",0.103571874334077
"GSM363366","Large",-0.133857001872456
"GSM363386","Large",-0.0198065518274659
"GSM363404","Large",-0.235053754459365
